Place Name,Score
Betahaus | Coworking Barcelona,0.972
OneCoWork Plaça Catalunya | Barcelona Coworking,0.9116907216494845
La Vaca Coworking Barcelona,0.8150412371134019
MOB Bailén - Coworking in Barcelona,0.8017319587628865
Kubik Barcelona,0.6951134020618557
Meet BCN - Coworking Space in Barcelona,0.7176185567010308
The Office Coworking Barcelona,0.6788762886597939
Norrsken House Barcelona,0.722340206185567
Cowork Rambla Catalunya - Coworking Barcelona,0.7393505154639176
OneCoWork Catedral | Barcelona Coworking,0.8305051546391752
Coworking space Camaleó,0.8219175257731959
Sitandplug,0.7207938144329897
"Coworking Sant Antoni Barcelona | Fix, Flex y Day Pass",0.7432989690721649
Aticco Bailén - Coworking Eixample Dreta,0.7231958762886598
The Social Hub Coworking Barcelona Poblenou,0.7163505154639175
Barcelona Reial Coworking,0.6245051546391752
Coworking Transforma bcn,0.8096288659793813
"Spaces - Barcelona, Spaces 22 Arroba",0.6614536082474226
Wojo Coworking Barcelona Poblenou - Alquiler oficinas y salas de reuniones,0.7515567010309279
Sowo Coworking Barcelona,0.7051649484536082
