name,City,Country,Neightboorhood,Population,Median Household Income,Percentage of population between 16 and 64 years,Transport,Day Pass,Month Pass,Address,Latitude,Longitude,Rating,User Rating Count,Weighted Rating,Score,distance_from_center
"WORKVILLE - Flexible Office Space, Conference Center, Coworking & Meeting Room Rental NYC",New York,USA,Midtown,58789,192347,0.7,6,49,300,"1412 Broadway 21st Floor, New York, NY 10018, USA",40.753615,-73.9865612,5,349,1745,1,4.82073865281531
Rise New York,New York,USA,Midtown,58789,192347,0.7,6,0,250,"43 W 23rd St, New York, NY 10010, USA",40.7424647,-73.991176,4.7,258,1212.6,0.879776504297994,3.52424069244458
The Farm SoHo NYC - Coworking Office Space and Private Offices,New York,USA,SoHo,11675,175209,0.7,4,29,179,"447 Broadway 2nd floor, New York, NY 10013, USA",40.7205729,-74.0014151,4.5,257,1156.5,0.850916905444126,0.946116913679579
"OASIS by Workville - Conference Center & Corporate Events, Flex Office, Meeting Space Venue & Rooftop",New York,USA,Midtown,58789,192347,0.7,6,49,350,"315 W 35th St Floor 11 - 15, New York, NY 10001, USA",40.7533447,-73.9936044,5,162,810,0.839255014326648,4.62259382488245
The New Work Project,New York,USA,Williansburg,138980,97432,0.6,2,40,370,"97 N 10th St #2A, Brooklyn, NY 11249, USA",40.7210019,-73.9580849,5,126,630,0.808309455587393,4.14973377441284
Betahaus | Coworking Barcelona,Barcelona,Spain,Gràcia,123973,34591.3,0.66,1,28.99,398.55,"Carrer de Vilafranca, 7, Gràcia, 08024 Barcelona, Spain",41.406983,2.1567652,4.8,388,1862.4,0.972,2.38952345674868
OneCoWork Plaça Catalunya | Barcelona Coworking,Barcelona,Spain,Ciutat Vella,45671,18133.33,0.75,5,36.23,340.58,"Carrer d'Estruc, 9, Ciutat Vella, 08002 Barcelona, Spain",41.3868865,2.1725053,4.8,310,1488,0.911690721649484,0.33158424140999
OneCoWork Catedral | Barcelona Coworking,Barcelona,Spain,Ciutat Vella,45671,18133.33,0.75,5,36.23,384.06,"Av. de la Catedral, 6, Ciutat Vella, 08002 Barcelona, Spain",41.3849907,2.1767637,4.8,205,984,0.830505154639175,0.733386313646555
Coworking space Camaleó,Barcelona,Spain,Ciutat Vella,45671,18133.33,0.75,3,36.23,289.86,"Carrer de Sant Pere Mitjà, 67, Ciutat Vella, 08003 Barcelona, Spain",41.3886355,2.1782502,4.7,212,996.4,0.821917525773196,0.818721727415292
La Vaca Coworking Barcelona,Barcelona,Spain,Sants-Montjuic,40157,27115.94,0.63,2,31.88,347.83,"Carrer de la Creu dels Molers, 19, Sants-Montjuïc, 08004 Barcelona, Spain",41.3741099,2.1619429,4.8,185,888,0.815041237113402,1.57756632064842
Freeland,Madrid,Spain,Adelfas,18832,73676.81,0.65,5,28.99,217.39,"C. de Gandía, 1, local 9A, Retiro, 28007 Madrid, Spain",40.3985851,-3.6717447,4.8,162,777.6,0.898046511627907,3.39038901391362
Coworking LOOM Huertas,Madrid,Spain,Cortes,10816,57982.61,0.76,10,43.48,398.55,"C. de las Huertas, 11, Centro, 28012 Madrid, Spain",40.414036,-3.700693,4.6,97,446.2,0.779348837209302,0.404648941815673
EslabON Coworking,Madrid,Spain,Opañel,33883,44714.49,0.7,4,21.74,259.42,"C. de Valle de Oro, 50, local posterior, Carabanchel, 28019 Madrid, Spain",40.38691,-3.723964,4.9,55,269.5,0.762744186046512,3.73446213107199
Area Coworking,Madrid,Spain,Delicias,28575,65785.51,0.7,4,28.99,347.83,"C. de Tomás Bretón, 50-52, Arganzuela, 28045 Madrid, Spain",40.3971345,-3.6917148,4.9,37,181.3,0.737627906976744,2.41266170520867
Basis Point Shinbashi,Tokyo,Japan,Shinbashi,100000,67176.52,0.65,4,25.84,413.39,"Japan, 〒105-0004 Tokyo, Minato City, Shinbashi, 2-chōme−19−３ カシケイビル 2F",35.6668382,139.759638,4.3,328,1410.4,0.902,1.77541381591931
Pasela Co-work Higashishinjuku,Tokyo,Japan,Higashishinjuku,25000,46506.82,0.65,3,20.67,310.05,"7-chōme-26-7 Shinjuku, Shinjuku City, Tokyo 160-0022, Japan",35.6980541,139.7093684,4.2,248,1041.6,0.814829268292683,4.83768593104745
AWS Startup Loft Tokyo,Tokyo,Japan,Akasaka,50000,72343.94,0.65,3,31,465.07,"Japan, 〒141-0021 Tokyo, Shinagawa City, Kamiōsaki, 3-chōme−1−１ 目黒セントラルスクエア 17F アマゾン新目黒オフィス",35.6333455,139.7165887,4.6,141,648.6,0.772963414634146,6.72478044695496
LULL TECH BEACH shibuya coworking space,Tokyo,Japan,Shibuya,230000,56841.67,0.65,3,31,413.39,"Japan, 〒150-0002 Tokyo, Shibuya, 3-chōme−10−１３, Tokyu Reit Shibuya R Building, B1",35.656832,139.7051383,4.8,86,412.8,0.750658536585366,5.7017925021172
【法人登記可】コワーキングスペースfactoria nishiogi,Tokyo,Japan,Nishiogi,80000,43406.37,0.65,3,20.67,310.05,"コメットビル 6F, 2-chōme-3-9 Nishiogikita, Suginami City, Tokyo 167-0042, Japan",35.7047587,139.6008598,4.9,47,230.3,0.728987804878049,14.5591712739498
