name,Country,Neightboorhood,Population,Median Household Income,Percentage of population between 16 and 64 years,Transport,Day Pass,Month Pass,Latitude,Longitude,Rating,User Rating Count,Weighted Rating,Score,distance_from_center,Predicted_Price_RF
Pasela Co-work Higashishinjuku,Japan,Higashishinjuku,25000,46506.82,0.65,3,20.67,310.05,35.6980541,139.7093684,4.2,248,1041.6,0.8148292682926829,4.837685931047446,23.00360000000002
EslabON Coworking,Spain,Opañel,33883,44714.49,0.7,4,21.74,259.42,40.38691,-3.723964,4.9,55,269.5,0.7627441860465117,3.734462131071989,23.698099999999982
Basis Point Shinbashi,Japan,Shinbashi,100000,67176.52,0.65,4,25.84,413.39,35.6668382,139.759638,4.3,328,1410.4,0.902,1.7754138159193125,27.49530000000001
Freeland,Spain,Adelfas,18832,73676.81,0.65,5,28.99,217.39,40.3985851,-3.6717447,4.8,162,777.6,0.8980465116279068,3.390389013913616,28.318699999999968
Area Coworking,Spain,Delicias,28575,65785.51,0.7,4,28.99,347.83,40.3971345,-3.6917148,4.9,37,181.3,0.7376279069767442,2.412661705208671,28.838999999999963
LULL TECH BEACH shibuya coworking space,Japan,Shibuya,230000,56841.67,0.65,3,31.0,413.39,35.656832,139.7051383,4.8,86,412.8,0.7506585365853657,5.701792502117198,29.63290000000001
AWS Startup Loft Tokyo,Japan,Akasaka,50000,72343.94,0.65,3,31.0,465.07,35.633345500000004,139.7165887,4.6,141,648.5999999999999,0.7729634146341462,6.724780446954962,29.881000000000007
Coworking LOOM Huertas,Spain,Cortes,10816,57982.61,0.76,10,43.48,398.55,40.414036,-3.700693,4.6,97,446.2,0.7793488372093023,0.4046489418156728,31.27949999999997
The Farm SoHo NYC - Coworking Office Space and Private Offices,USA,SoHo,11675,175209.0,0.7,4,29.0,179.0,40.7205729,-74.00141510000002,4.5,257,1156.5,0.8509169054441261,0.9461169136795792,32.312400000000004
La Vaca Coworking Barcelona,Spain,Sants-Montjuic,40157,27115.94,0.63,2,31.88,347.83,41.3741099,2.1619429,4.8,185,888.0,0.8150412371134019,1.5775663206484154,32.977500000000056
Betahaus | Coworking Barcelona,Spain,Gràcia,123973,34591.3,0.66,1,28.99,398.55,41.406983,2.1567652,4.8,388,1862.4,0.972,2.389523456748684,34.11300000000003
Coworking space Camaleó,Spain,Ciutat Vella,45671,18133.33,0.75,3,36.23,289.86,41.3886355,2.1782502,4.7,212,996.4,0.8219175257731959,0.8187217274152917,34.26420000000001
OneCoWork Plaça Catalunya | Barcelona Coworking,Spain,Ciutat Vella,45671,18133.33,0.75,5,36.23,340.58,41.3868865,2.1725053,4.8,310,1488.0,0.9116907216494844,0.3315842414099898,35.40100000000001
OneCoWork Catedral | Barcelona Coworking,Spain,Ciutat Vella,45671,18133.33,0.75,5,36.23,384.06,41.3849907,2.1767637,4.8,205,984.0,0.8305051546391752,0.7333863136465554,35.46380000000001
The New Work Project,USA,Williansburg,138980,97432.0,0.6,2,40.0,370.0,40.7210019,-73.9580849,5.0,126,630.0,0.8083094555873925,4.149733774412838,36.9937
Rise New York,USA,Midtown,58789,192347.0,0.7,6,0.0,250.0,40.7424647,-73.991176,4.7,258,1212.6,0.8797765042979943,3.5242406924445837,40.908799999999985
"WORKVILLE - Flexible Office Space, Conference Center, Coworking & Meeting Room Rental NYC",USA,Midtown,58789,192347.0,0.7,6,49.0,300.0,40.753615,-73.9865612,5.0,349,1745.0,1.0,4.820738652815306,43.487799999999986
"OASIS by Workville - Conference Center & Corporate Events, Flex Office, Meeting Space Venue & Rooftop",USA,Midtown,58789,192347.0,0.7,6,49.0,350.0,40.7533447,-73.9936044,5.0,162,810.0,0.8392550143266475,4.622593824882448,44.90379999999999
