Name,Address,Latitude,Longitude,Price Level,Rating,User Rating Count,Distance,Place Name,Score
"Coworka - Endereço Fiscal, Comercial, Virtual e Coworking com Salas de Reunião","Avenida Paulista 1471 conjunto 1110 ou - R. Santa Cruz, 2187 - 2° andar - Jardim Paulista, São Paulo - SP, 01311-927, Brazil",-23.5626751,-46.6558894,,5.0,1387,2.67157764035838,"Coworka - Endereço Fiscal, Comercial, Virtual e Coworking com Salas de Reunião",0.7920982735723772
iSpaces Coworking - São Paulo,"Ed. Praça Pamplona - R. Pamplona, 145 - sala 1 e 2 - Jardim Paulista, São Paulo - SP, 01405-900, Brazil",-23.5601949,-46.6514124,,5.0,37,2.1383642621039094,iSpaces Coworking - São Paulo,0.7024568393094289
Coworking Higienopolis,"Tv. Dona Paula, 13 - Higienópolis, São Paulo - SP, 01239-050, Brazil",-23.5521431,-46.6597214,,4.8,226,2.703793725165374,Coworking Higienopolis,0.6870066401062417
WeWork Sala Comercial & Coworking,"Avenida Paulista, 1374 Andares 4, 5, 6 - 11 e 12 - Bela Vista, São Paulo - SP, 01310-100, Brazil",-23.5629132,-46.6544432,,4.7,945,2.559269511077565,WeWork Sala Comercial & Coworking,0.7207490039840638
Google Campus São Paulo,"Rua Coronel Oscar Porto, 70 - Paraíso, São Paulo - SP, 04003-000, Brazil",-23.570991,-46.649886,PRICE_LEVEL_MODERATE,4.8,4518,2.8315428893458296,Google Campus São Paulo,0.972
Coworking Av Paulista WORKINGSP Office Service,"Metrô Consolação - Av. Paulista, 2202 - 12 º andar cj 121 - Bela Vista, São Paulo - SP, 01310-300, Brazil",-23.5575987,-46.6606117,,4.9,77,2.8972173147735347,Coworking Av Paulista WORKINGSP Office Service,0.691112881806109
Coworking Smart - Paulista I,"Ed. Paulista Corporate - Av. Paulista, 1636 - Conjunto Salas 103 e 105 - Bela Vista, São Paulo - SP, 01310-200, Brazil",-23.5611371,-46.6563664,,5.0,66,2.6332578346680755,Coworking Smart - Paulista I,0.7043824701195218
Creative Space Coworking,"R. Pamplona, 287 - Bela Vista, São Paulo - SP, 01405-000, Brazil",-23.5613011,-46.6515549,,5.0,23,2.2146548904349936,Creative Space Coworking,0.7015272244355909
Coworking Offices Vila Olimpia,"R. Tenerife, 31 - 4º Andar - Vila Olímpia, São Paulo - SP, 04548-040, Brazil",-23.5962714,-46.68774,,4.9,185,7.522173985270123,Coworking Offices Vila Olimpia,0.6982841965471448
491 Coworking,"Av. Paulista, 491 - 1º andar - Bela Vista, São Paulo - SP, 01311-000, Brazil",-23.56845,-46.6485277,,5.0,99,2.5237159687553268,491 Coworking,0.7065737051792829
Rocket N Coworking,"R. Cubatão, 85 - Vila Mariana, São Paulo - SP, 04013-041, Brazil",-23.5727779,-46.6449913,,4.9,75,2.740869214794485,Rocket N Coworking,0.690980079681275
Mango Tree Coworking,"R. Pedro Américo, 32 - 19º Andar - República, São Paulo - SP, 01045-010, Brazil",-23.541524,-46.6421599,,4.9,169,1.34411001427971,Mango Tree Coworking,0.6972217795484729
"Spaces - Sao Paulo, Spaces - Vila Madalena - Pinheiros","R. Cap. Antônio Rosa, 409 - Jardim Paulistano, São Paulo - SP, 01443-010, Brazil",-23.5673394,-46.6851862,,4.6,344,5.616060490693667,"Spaces - Sao Paulo, Spaces - Vila Madalena - Pinheiros",0.6668419654714475
Easily Work Coworking,"R. São Bento, 365 - 1º andar - Centro Histórico de São Paulo, São Paulo - SP, 01011-100, Brazil",-23.5460453,-46.6353086,,5.0,110,0.5342938650277207,Easily Work Coworking,0.7073041168658698
818 Coworking,"R. Pamplona, 818 - conjuntos 91, 92, 71 e 11 - Jardim Paulista, São Paulo - SP, 01405-905, Brazil",-23.5649741,-46.6552514,,5.0,46,2.755452489039743,818 Coworking,0.7030544488711818
Be Coworking - Higienópolis,"R. Martinico Prado, 26 - Higienópolis, São Paulo - SP, 01224-010, Brazil",-23.5425228,-46.6514884,,4.9,38,2.0565703231492076,Be Coworking - Higienópolis,0.688523240371846
Sextante Coworking,"Rua Alceu Wamosy, 20 - Vila Mariana, São Paulo - SP, 04105-040, Brazil",-23.5790709,-46.6358603,,4.9,79,3.1750610382395053,Sextante Coworking,0.691245683930943
Bendito Coworking - Unidade Al. Santos,"Alameda Santos, 2335 - Cerqueira César, São Paulo - SP, 01419-101, Brazil",-23.5581935,-46.6625364,,4.8,73,3.1042402266439995,Bendito Coworking - Unidade Al. Santos,0.6768472775564408
Coworking Smart - Paulista II,"Avenida Paulista, 777 Sala 102, Ed. Viking - Bela Vista, São Paulo - SP, 01311-100, Brazil",-23.566566,-46.6506311,,5.0,53,2.5093715834095147,Coworking Smart - Paulista II,0.7035192563081009
Casa Coworking,"R. Flórida, 1738 - CJ 121 - Cidade Monções, São Paulo - SP, 04565-001, Brazil",-23.6071538,-46.6944256,,4.9,131,8.848940761493907,Casa Coworking,0.6946985391766268
