Name,Address,Latitude,Longitude,Price Level,Rating,User Rating Count
"Coworka - Endereço Fiscal, Comercial, Virtual e Coworking com Salas de Reunião","Avenida Paulista 1471 conjunto 1110 ou - R. Santa Cruz, 2187 - 2° andar - Jardim Paulista, São Paulo - SP, 01311-927, Brazil",-23.5626751,-46.6558894,N/A,5.0,1387
iSpaces Coworking - São Paulo,"Ed. Praça Pamplona - R. Pamplona, 145 - sala 1 e 2 - Jardim Paulista, São Paulo - SP, 01405-900, Brazil",-23.5601949,-46.6514124,N/A,5.0,37
Coworking Higienopolis,"Tv. Dona Paula, 13 - Higienópolis, São Paulo - SP, 01239-050, Brazil",-23.5521431,-46.659721399999995,N/A,4.8,226
WeWork Sala Comercial & Coworking,"Avenida Paulista, 1374 Andares 4, 5, 6 - 11 e 12 - Bela Vista, São Paulo - SP, 01310-100, Brazil",-23.5629132,-46.654443199999996,N/A,4.7,945
Google Campus São Paulo,"Rua Coronel Oscar Porto, 70 - Paraíso, São Paulo - SP, 04003-000, Brazil",-23.570991,-46.649885999999995,PRICE_LEVEL_MODERATE,4.8,4518
Coworking Av Paulista WORKINGSP Office Service,"Metrô Consolação - Av. Paulista, 2202 - 12 º andar cj 121 - Bela Vista, São Paulo - SP, 01310-300, Brazil",-23.5575987,-46.6606117,N/A,4.9,77
Coworking Smart - Paulista I,"Ed. Paulista Corporate - Av. Paulista, 1636 - Conjunto Salas 103 e 105 - Bela Vista, São Paulo - SP, 01310-200, Brazil",-23.5611371,-46.656366399999996,N/A,5.0,66
Creative Space Coworking,"R. Pamplona, 287 - Bela Vista, São Paulo - SP, 01405-000, Brazil",-23.5613011,-46.6515549,N/A,5.0,23
Coworking Offices Vila Olimpia,"R. Tenerife, 31 - 4º Andar - Vila Olímpia, São Paulo - SP, 04548-040, Brazil",-23.5962714,-46.68774,N/A,4.9,185
491 Coworking,"Av. Paulista, 491 - 1º andar - Bela Vista, São Paulo - SP, 01311-000, Brazil",-23.568450000000002,-46.6485277,N/A,5.0,99
Rocket N Coworking,"R. Cubatão, 85 - Vila Mariana, São Paulo - SP, 04013-041, Brazil",-23.5727779,-46.6449913,N/A,4.9,75
Mango Tree Coworking,"R. Pedro Américo, 32 - 19º Andar - República, São Paulo - SP, 01045-010, Brazil",-23.541524,-46.6421599,N/A,4.9,169
"Spaces - Sao Paulo, Spaces - Vila Madalena - Pinheiros","R. Cap. Antônio Rosa, 409 - Jardim Paulistano, São Paulo - SP, 01443-010, Brazil",-23.567339399999998,-46.6851862,N/A,4.6,344
Easily Work Coworking,"R. São Bento, 365 - 1º andar - Centro Histórico de São Paulo, São Paulo - SP, 01011-100, Brazil",-23.5460453,-46.635308599999995,N/A,5.0,110
818 Coworking,"R. Pamplona, 818 - conjuntos 91, 92, 71 e 11 - Jardim Paulista, São Paulo - SP, 01405-905, Brazil",-23.5649741,-46.6552514,N/A,5.0,46
Be Coworking - Higienópolis,"R. Martinico Prado, 26 - Higienópolis, São Paulo - SP, 01224-010, Brazil",-23.5425228,-46.6514884,N/A,4.9,38
Sextante Coworking,"Rua Alceu Wamosy, 20 - Vila Mariana, São Paulo - SP, 04105-040, Brazil",-23.579070899999998,-46.6358603,N/A,4.9,79
Bendito Coworking - Unidade Al. Santos,"Alameda Santos, 2335 - Cerqueira César, São Paulo - SP, 01419-101, Brazil",-23.558193499999998,-46.6625364,N/A,4.8,73
Coworking Smart - Paulista II,"Avenida Paulista, 777 Sala 102, Ed. Viking - Bela Vista, São Paulo - SP, 01311-100, Brazil",-23.566565999999998,-46.6506311,N/A,5.0,53
Casa Coworking,"R. Flórida, 1738 - CJ 121 - Cidade Monções, São Paulo - SP, 04565-001, Brazil",-23.6071538,-46.694425599999995,N/A,4.9,131
